source_filename,tier,description,package_path,sha256
intervals.py,tier_a,Deterministic real interval root solver and real Lambert-W / x+sin bracketing.,third_sweep_candidates/tier_a/python/intervals.py,c161c02975e9e157cc1b11dd7f4fd3bb57d6c100d490f34e6d6c02809fd43224
permutation.py,tier_a,"Generic immutable finite permutation operations: composition, inverse, cycle decomposition.",third_sweep_candidates/tier_a/python/permutation.py,9ff7494c534fdc1f96f3115be86ceb75016774d2f6fb56823c1cd56bca4fa808
words.py,tier_a,"Generic free-group word inversion, reduction, and commutator construction.",third_sweep_candidates/tier_a/python/words.py,d59a86979b3515c06e7260b3c86268b14b4368efb635af59030217f7f940609d
run_head_to_head.py,tier_a,Expression-tree symbolic-regression / enumerative EML search machinery.,third_sweep_candidates/tier_a/python/run_head_to_head.py,39f45c4a6251c1469c5bfd9d404593ef7e6d291e6d542c66d66ed696aa24a95a
lib (55th copy).rs,tier_a,"no_std arbitrary-width exact arithmetic: BigNat, BigInt, GaussianRational, gcd/division/encoding.",third_sweep_candidates/tier_a/rust/lib (55th copy).rs,e0ba9c4a6378211727cb4c481c89ea19d6436ed1a6537da85320542e77c448ae
orthad_closed_form.py,tier_a,"Execution-free exact Orthad closed form / random access, Fibonacci fast doubling, charts, transfers, cardinalities.",third_sweep_candidates/tier_a/python/orthad_closed_form.py,198e4ffb34d6b5c1948b1ddcb4b027c82c2296bf915511c0b411293bd5ce5ab2
candidate_local_coordinate.py,tier_a,"Exact local-coordinate encoding/decoding, threshold oracle, capacity/reachability.",third_sweep_candidates/tier_a/python/candidate_local_coordinate.py,620584cf9db9981c69adcb777b300aed046776f7b241bb5569e300407e003319
jacobian_sheet_custody.py,tier_a,"Exact symbolic Jacobian/sheet custody, weighted-fiber identity and covariance checks.",third_sweep_candidates/tier_a/python/jacobian_sheet_custody.py,63b4bb70d04abbb7cc56a96e68ebb8bf7c078ffeff0da74d404d2fb0a431ab25
qbl_orthad_query.c,tier_a,Read-side exact Orthad/QBL query formulas and relation cardinalities without enumeration.,third_sweep_candidates/tier_a/c/qbl_orthad_query.c,2dbd91e11263ad1a76769b0fcb08983d048ebe92d5daf26cb936550b067589ee
farey_balanced_anchor_kernel.S,tier_a,Low-level balanced Farey/Fibonacci trace kernel to an endogenous product floor.,third_sweep_candidates/tier_a/asm/farey_balanced_anchor_kernel.S,0520a10a12a9be89756b7408bdf883036774a2832f43cde455b621ef3ef948c9
deep_wide_sweep.py,tier_a,"Exact layered-state math, phase moments, cross energy, chiral radius and tridiagonal relation-gap solver.",third_sweep_candidates/tier_a/python/deep_wide_sweep.py,784cbcded781c4aa0093b0ef5a6e76423f101369808921679e05684a6e125017
certifier.py,tier_b,Inverse/root certification service using deterministic interval bisection and high precision.,third_sweep_candidates/tier_b/python/certifier.py,8c99d609f7f712661d3f21a961562756eb85d5631542af9699ca72e2f522dac4
20260619T190328_orthad_lift_measurement.py,tier_b,"Partition refinement/inherit-extend measurement, exact coefficients, entropy and residual resolution.",third_sweep_candidates/tier_b/python/20260619T190328_orthad_lift_measurement.py,720b97cac912184379f4afdd9481f503a8f955babc95a695302608db44816109
affine_binary_locality_probe.py,tier_b,"Affine cut/binary-carry symbolic dynamics, refinement boundaries and locality/operator checks.",third_sweep_candidates/tier_b/python/affine_binary_locality_probe.py,e53b2ab21060e5f3049f525ba2f85c32051912c12537d13095c39eed4e7b89ec
first_b_germ_sector.py,tier_b,"Exact SymPy germ intervals, B update, reflection/commutation and recovered matrix controls.",third_sweep_candidates/tier_b/python/first_b_germ_sector.py,563260d1a7c9e99f1a480a66e330872d758a8b49651951793bc26558c96a2b0d
first_b_unimodular_orthad.py,tier_b,Concise exact 2x2 unimodular/symplectic shear and alternating-form transport machinery.,third_sweep_candidates/tier_b/python/first_b_unimodular_orthad.py,0067cc7bda0021f013279091760cb2bf70260244d8d39df5a7b4f7b1575c9da2
native_transition_group_probe.py,tier_b,Inverse Q/B/L transition recovery and typed relation-automorphism/chart-transfer checks.,third_sweep_candidates/tier_b/python/native_transition_group_probe.py,a4e72dabcda86a26411b96d2bdec517a80ca14a5b845f78f087bea4ef5b186a0
xi_endogenous_floor_burden.py,tier_b,Balanced-window depth solver with Fibonacci product floor and endogenous burden recurrence.,third_sweep_candidates/tier_b/python/xi_endogenous_floor_burden.py,e559cbb7568b7e1ca4b88ac9cbfe2dd1138f08b63864bc4759a0e29e809281e3
xi_step_endogenous_floor.S,tier_b,Assembly endogenous-floor update and balanced arithmetic/completion germ.,third_sweep_candidates/tier_b/asm/xi_step_endogenous_floor.S,6ac41aba595ae27db7e4fcbeeea6a910867f0d72e0fb589932c72da2300041b1
xigraph_engine.c,tier_b,"Deterministic graph dynamics: compatibility, debt absorption, edge strengthening, 2D resolution and node birth.",third_sweep_candidates/tier_b/c/xigraph_engine.c,a684622e122bb964a087a5c4fe95bb77ff26f52b644f44f1a5b17cdc9116842d
invariants.py,tier_b,"Trace morphology math: components, polar/radial profiles, harmonic spectra, shell/ring/IoU invariants.",third_sweep_candidates/tier_b/python/invariants.py,c0a71a15f55ecb4ddc1048f529797375fcea0a797bd45803c06379f21fc6e5f2
fibonacci.py,support,Support for certifier.py.,third_sweep_support/fibonacci.py,31d098d75a1c170493f3921678945f31f6dadb7d697592b031062dd333102081
models.py,support,Support data models for certifier.py.,third_sweep_support/models.py,7dfd036b60563a6516bf00329919d419f6d217a25d83fa1fc5f37265684abfb3
