path,category,reason,loc,math_hits,definitions,imports,sha256
20260620T0535_orthad_carried_phase_walk.py,direct,equation-bearing symbolic/numeric research implementation,48,12,med;phase_sign,math,eb71c186829c7bedb25769253d39dbe583e69bb09619a45ad598e72765fab39b
20260710T234301_qbl_b_defect_investigation.py,direct,equation-bearing symbolic/numeric research implementation,77,3,constants;binet_log_correction;scan;main,__future__;argparse;csv;json;collections;pathlib;mpmath;sympy,24235da9fd9fd19ac1639a99b33f030759a5a28fcb26a5987875a945e7360daf
20260711T064604_derive_j.py,direct,equation-bearing symbolic/numeric research implementation,495,46,_jsonable;constants;symbolic_system;load_prior_trace;empirical_from_trace;boundary_scan;boundary_precision_check;metrics_high_precision;metrics;write_csv;run;main,__future__;argparse;csv;json;math;collections;dataclasses;pathlib;typing;mpmath;numpy;sympy,26b5789ef4ea6e50d6b8a2f232b64b2cd5f0a69f2d35cd372370f7ad313a37fa
20260711T074914_derive_symbolic_language.py,direct,equation-bearing symbolic/numeric research implementation,788,104,constants;_jsonable;symbolic_system;find_one;load_trace;load_prior_transition_counts;empirical;Affine;compare_affine;max_affine;min_affine;cylinder_initial;edge_envelope_word;length3_table;direct_current_cylinders;edge_path_count;markov_order_counterexamples;complexity;boundary_interval_certificate;metrics_high_precision;write_csv;run;main;__add__;__sub__;scale;divide;eval;plain;latex;intersect;image;lo;hi;interval_payload;frac,__future__;argparse;csv;hashlib;json;math;collections;dataclasses;decimal;fractions;pathlib;typing;mpmath;numpy;sympy,65a131ab0526aaec8d8ade78cb6eedbf7a009fb0c54fd4a33572f10ccb7f7e40
20260711T083401_derive_affine_language.py,direct,equation-bearing symbolic/numeric research implementation,440,121,jsonable;write_json;write_csv;constants;outward_a_bounds;Affine;affine_range;compare_affine;max_aff;min_aff;cylinder_initial;edge_envelope;generate_levels;fraction_decimal;interval_payload;exact_markov_witnesses;load_trace;load_prior_counts;empirical;symbolic_core;hp_metrics;boundary_interval_certificate;mod1_affine;boundary_follower_pairs;follower_signature_counts;run;main;__add__;__sub__;scale;divide;eval_fraction;plain;payload,__future__;argparse;csv;json;math;collections;dataclasses;decimal;fractions;pathlib;typing;mpmath;numpy;sympy,cddc3d0fdb4a378b3d5f8237b490794c261befb2ac5f788b6e9c620ce40ac782
20260711T103100_derive_affine_language.py,direct,equation-bearing symbolic/numeric research implementation,542,149,jsonable;write_json;write_csv;constants;outward_a_bounds;Affine;affine_range;compare_affine;max_aff;min_aff;cylinder_initial;edge_envelope;generate_levels;fraction_decimal;interval_payload;exact_markov_witnesses;load_trace;load_prior_counts;empirical;symbolic_core;hp_metrics;boundary_interval_certificate;mod1_affine;image_after_word;follower_region_geometry;boundary_follower_pairs;follower_signature_counts;run;main;__add__;__sub__;scale;divide;eval_fraction;plain;payload,__future__;argparse;csv;json;math;collections;dataclasses;decimal;fractions;pathlib;typing;mpmath;numpy;sympy,5f5faef9c1be6cf9c389718a9cf432102e65ca6b8b41a12f7191c8371d7916d2
20260711T110131_derive_threshold.py,direct,equation-bearing symbolic/numeric research implementation,37,1,fib_pair;mA;yA;rho;main,__future__;argparse;hashlib;json;math;sys;pathlib;mpmath,7d217510bd48e5f251463d7c03e50e691a37bf68ca7fb652db977ce8115ddec9
20260711T113107_derive_threshold.py,direct,equation-bearing symbolic/numeric research implementation,206,4,fib_pair;m_A;exact_symbolic_checks;universal_dependency_graph;finite_regressions;main,__future__;argparse;json;math;pathlib;mpmath;sympy,4b280b90eb5431c77588b24a5fd08881497307647080a146e62ccff02357f9fb
20260711T120831_derive_factor.py,direct,equation-bearing symbolic/numeric research implementation,109,12,fib_pair;threshold;main,__future__;argparse;csv;json;math;pathlib;mpmath;sympy,ba8dd25b3671f9ae062880fa59f950ebb776b30a811f4495c680bd9fc5422878
20260711T134500_derive_factor_scope.py,direct,equation-bearing symbolic/numeric research implementation,131,12,sha256;fib;threshold;cap;simulate;main;fd,__future__;argparse;csv;hashlib;json;math;pathlib;mpmath;sympy,bc28faf4b93a34a3ee67938d2338d10afed71d6774f62d1b3ac69c4a767e1e88
